Meslek,Yetkinlik,Minimum Beklenilen Deneyim(YIL)
Artificial Intelligence Engineering,"Problem Çözme, Ekip Çalışması, Öğrenmeye Açıklık, Programlama, Analiz, Yaratıcılık, Proje Yönetimi, Analitik Düşünme",0
3D Production Engineering,"Problem Çözme, Müşteri Odaklılık, Ekip Çalışması, İletişim Becerisi, Öğrenmeye Açıklık, Programlama, Çizim Yeteneği, Analitik Düşünme, Tasarım Becerisi, Proje Yönetimi",0
Mobile Application Developer,"Problem Çözme, İletişim Becerisi, Ekip Çalışması, Öğrenmeye Açıklık, Programlama, Yaratıcılık, Proje Yönetimi, Analitik Düşünme",2
Game Developer,"Problem Çözme, İletişim Becerisi, Ekip Çalışması, Programlama, Yaratıcılık, Analitik Düşünme",2
Blockchain Developer,"Problem Çözme, Ekip Çalışması, Programlama, Kriptografi Bilgisi, Analiz, Öğrenmeye Açıklık, Analitik Düşünme",2
Software Engineering,"Problem Çözme, Programlama, Analitik Düşünme, Öğrenmeye Açıklık, İletişim Becerisi",2
AR/VR Developer,"Ekip Çalışması, Programlama, İnovasyon, Problem Çözme, Yaratıcılık, Öğrenmeye Açıklık, Tasarım Becerisi, Analitik Düşünme",0
Cyber Security Specialist,"Problem Çözme, Ekip Çalışması, İletişim Becerisi, Programlama, Liderlik, Analiz, Analitik Düşünme, Tasarım Becerisi",0
Content Creator,"İletişim Becerisi, Ekip Çalışması, Programlama, Analiz, Yaratıcılık, Öğrenmeye Açıklık, Tasarım Becerisi, Analitik Düşünme",0
Psychiatrist,"Problem Çözme, İletişim Becerisi, Empati Yeteneği, Analiz, Öğrenmeye Açıklık, Analitik Düşünme",0
Robotics Engineering,"Problem Çözme, Ekip Çalışması, İnovasyon, Programlama, Analitik Düşünme",2
Digital Marketing Expertise,"Raporlama, Problem Çözme, Proje Yönetimi, Müşteri Odaklılık, Ekip Çalışması, İletişim Becerisi, Analiz, Satış Becerisi, Yaratıcılık, Analitik Düşünme",2
Data Scientist,"Raporlama, Problem Çözme, Ekip Çalışması, İnovasyon, Programlama, Liderlik, Analiz, Analitik Düşünme",2
Cloud Engineering,"Problem Çözme, Ekip Çalışması, Programlama, Analiz, Öğrenmeye Açıklık, Analitik Düşünme",2
Dietetics,"Problem Çözme, Ekip Çalışması, İletişim Becerisi, Empati Yeteneği, Analiz, Analitik Düşünme",4
Database Specialist,"Analiz, Programlama, Problem Çözme, Analitik Düşünme",5
Epidemiologists,"İnovasyon, Veri Toplama ve Kullanma, Analiz, Araştırma Becerisi, Analitik Düşünme",2
Statisticians,"Raporlama, Öğrenmeye Açıklık, Problem Çözme, Programlama, Analiz, Analitik Düşünme",4
Graphic Designer,"Zaman Yönetimi, Tasarım Becerisi, Yaratıcılık, Öğrenmeye Açıklık",2
Food Technician,"Analiz, Ekip Çalışması, Analitik Düşünme",2
Hydrologist,"Analiz, Araştırma Becerisi, Öğrenmeye Açıklık, Raporlama",4
User Experience Specialist,"Problem Çözme, Yaratıcı Düşünme, Empati, Analiz, Yaratıcılık, Tasarım Becerisi",4
